FID,OBJECTID,URN,SCHOOL_NAM,TYPE,PHASE,ADDRESS,TOWN,POSTCODE,STATUS,GENDER,EASTING,NORTHING,WARD_NAME,LA_NAME,WEBLINK,AGE,map_icon,Primary,POINT_X,POINT_Y
0,1.000000000000000,100332,Langford Primary School,Community School,Primary,Gilstead Road,London,SW6 2LG,"Open, but proposed to close",Mixed,525887,176415,Sands End,Hammersmith and Fulham,www.langford.lbhf.sch.uk,3 - 11,STATE-FUNDED,1,-0.188834467803000,51.472703480600003
1,2.000000000000000,101596,Worsley Bridge Primary School,Community School,Primary,Brackley Road,Beckenham,BR3 1RF,"Open, but proposed to close",Mixed,537322,170426,Copers Cope,Bromley,www.worsleybridge.bromley.sch.uk,4 - 11,STATE-FUNDED,1,-0.026612620834800,51.416226473000002
2,3.000000000000000,101736,South Norwood Primary School,Community School,Primary,34 Crowther Road,London,SE25 5QP,"Open, but proposed to close",Mixed,534121,168019,Woodside,Croydon,www.southnorwoodprimaryschool.co.uk,4 - 11,STATE-FUNDED,1,-0.073525845668900,51.395361770100003
3,4.000000000000000,102962,Cheam Common Junior School,Community School,Primary,Kingsmead Avenue,Worcester Park,KT4 8UT,"Open, but proposed to close",Mixed,522737,165542,Nonsuch,Sutton,http://www.cheam-common-jnr.sutton.lgfl.net,7 - 11,STATE-FUNDED,1,-0.237927666676000,51.375673801100000
4,5.000000000000000,132008,Burwood School,Community Special School,Not applicable,Avalon Road,Orpington,BR6 9BD,"Open, but proposed to close",Boys,547509,165568,Orpington,Bromley,www.burwood.bromley.sch.uk,7 - 16,SPECIAL,1,0.117760367988000,51.370019884100003
5,6.000000000000000,100000,Sir John Cass's Foundation Primary School,Voluntary Aided School,Primary,St James's Passage,London,EC3A 5DE,Open,Mixed,533498,181201,Portsoken,City of London,www.sirjohncassprimary.org,3 - 11,VOLUNTARY,1,-0.077504378959300,51.513970288800003
6,7.000000000000000,100008,Argyle Primary School,Community School,Primary,Tonbridge Street,London,WC1H 9EG,Open,Mixed,530238,182761,King's Cross,Camden,http://www.argyle.camden.sch.uk/,3 - 11,STATE-FUNDED,1,-0.123881773998000,51.528750095900001
7,8.000000000000000,100009,Beckford Primary School,Community School,Primary,Dornfell Street,London,NW6 1QL,Open,Mixed,524888,185067,Fortune Green,Camden,http://www.beckford.camden.sch.uk/,3 - 11,STATE-FUNDED,1,-0.200147828931000,51.550681861500003
8,9.000000000000000,100010,Brecknock Primary School,Community School,Primary,Cliff Villas,London,NW1 9AL,Open,Mixed,529912,184835,Cantelowes,Camden,http://www.brecknock.camden.sch.uk/,3 - 11,STATE-FUNDED,1,-0.127813676640000,51.547463793500000
9,10.000000000000000,100011,Brookfield Primary School,Community School,Primary,Chester Road,London,N19 5DH,Open,Mixed,528706,186594,Highgate,Camden,http://www.brookfield.camden.sch.uk/,3 - 11,STATE-FUNDED,1,-0.144553390294000,51.563547629799999
10,11.000000000000000,100012,Carlton Primary School,Community School,Primary,Grafton Road,London,NW5 4AX,Open,Mixed,528386,185209,Gospel Oak,Camden,http://www.carlton.camden.sch.uk/,3 - 11,STATE-FUNDED,1,-0.149672680689000,51.551173757500003
11,12.000000000000000,100013,Edith Neville Primary School,Community School,Primary,174 Ossulston Street,London,NW1 1DN,Open,Mixed,529725,183195,St. Pancras and Somers Town,Camden,http://www.edithneville.camden.sch.uk/,3 - 11,STATE-FUNDED,1,-0.131113153644000,51.532768346700003
12,13.000000000000000,100014,Fleet Primary School,Community School,Primary,Fleet Road,London,NW3 2QT,Open,Mixed,527677,185424,Gospel Oak,Camden,http://www.fleet.camden.sch.uk/,3 - 11,STATE-FUNDED,1,-0.159814976454000,51.553266619900000
13,14.000000000000000,100015,Hawley Infant School,Community School,Primary,Buck Street,London,NW1 8NJ,Open,Mixed,528895,184038,Camden Town with Primrose Hill,Camden,http://www.hawley.camden.sch.uk/,3 - 7,STATE-FUNDED,1,-0.142764205861000,51.540534199299998
14,15.000000000000000,100018,Netley Primary School,Community School,Primary,74 Stanhope Street,London,NW1 3EX,Open,Mixed,529095,182598,Regent's Park,Camden,http://www.netley.camden.sch.uk/,3 - 11,STATE-FUNDED,1,-0.140409601128000,51.527547406499998
15,16.000000000000000,100019,New End Primary School,Community School,Primary,Streatley Place,London,NW3 1HU,Open,Mixed,526483,185916,Hampstead Town,Camden,http://www.newend.camden.sch.uk/,3 - 11,STATE-FUNDED,1,-0.176850755961000,51.557956832400002
16,17.000000000000000,100020,Primrose Hill School,Community School,Primary,Princess Road,London,NW1 8JL,Open,Mixed,528304,183909,Camden Town with Primrose Hill,Camden,http://www.primrosehill.camden.sch.uk/,3 - 11,STATE-FUNDED,1,-0.151328466201000,51.539509379199998
17,18.000000000000000,100021,Rhyl Primary School,Community School,Primary,Rhyl Street,London,NW5 3HB,Open,Mixed,528334,184823,Haverstock,Camden,http://www.rhylprim.camden.sch.uk/htm/fsetie.htm,3 - 11,STATE-FUNDED,1,-0.150562988391000,51.547716625600003
18,19.000000000000000,100022,Richard Cobden Primary School,Community School,Primary,Camden Street,London,NW1 0LL,Open,Mixed,529342,183487,St. Pancras and Somers Town,Camden,http://www.rcobden.camden.sch.uk/,3 - 11,STATE-FUNDED,1,-0.136524609408000,51.535480289600002
19,20.000000000000000,100023,Torriano Junior School,Community School,Primary,Torriano Avenue,London,NW5 2SJ,Open,Mixed,529559,185072,Kentish Town,Camden,http://www.torrianojun.camden.sch.uk/,7 - 11,STATE-FUNDED,1,-0.132814466673000,51.549674749799998
20,21.000000000000000,100025,Gospel Oak Primary School,Community School,Primary,Mansfield Road,London,NW3 2JB,Open,Mixed,528230,185638,Gospel Oak,Camden,www.gospeloak.camden.sch.uk,3 - 11,STATE-FUNDED,1,-0.151765137260000,51.555064548399997
21,22.000000000000000,100026,Fitzjohn's Primary School,Community School,Primary,86A Fitzjohn's Avenue,London,NW3 6NP,Open,Mixed,526566,185411,Hampstead Town,Camden,http://www.fitzjohns.camden.sch.uk/,4 - 11,STATE-FUNDED,1,-0.175835668673000,51.553399831400000
22,23.000000000000000,100027,Eleanor Palmer Primary School,Community School,Primary,Lupton Street,London,NW5 2JA,Open,Mixed,529117,185613,Kentish Town,Camden,http://www.eleanorpalmer.camden.sch.uk/,3 - 11,STATE-FUNDED,1,-0.138987174571000,51.554637825199997
23,24.000000000000000,100028,"Christ Church Primary School, Hampstead",Voluntary Aided School,Primary,Christ Church Hill,London,NW3 1JH,Open,Mixed,526518,186095,Hampstead Town,Camden,http://www.christchurchschool.co.uk/,4 - 11,VOLUNTARY,1,-0.176281806179000,51.559557648599998
24,25.000000000000000,100029,Christ Church School,Voluntary Aided School,Primary,Redhill Street,London,NW1 4BD,Open,Mixed,528821,182991,Regent's Park,Camden,http://www.cchurchnw1.camden.sch.uk,3 - 11,VOLUNTARY,1,-0.144213572894000,51.531141771700000
25,26.000000000000000,100030,Emmanuel Church of England Primary School,Voluntary Aided School,Primary,152-158 Mill Lane,London,NW6 1TF,Open,Mixed,525336,185264,Fortune Green,Camden,http://www.emmanuel.camden.sch.uk/,3 - 11,VOLUNTARY,1,-0.193619725947000,51.552353078700001
26,27.000000000000000,100031,Hampstead Parochial Church of England Primary School,Voluntary Aided School,Primary,Holly Bush Vale,London,NW3 6TX,Open,Mixed,526301,185733,Frognal and Fitzjohns,Camden,http://www.hampsteadprim.camden.sch.uk/,4 - 11,VOLUNTARY,1,-0.179540389177000,51.556352961199998
27,28.000000000000000,100032,"Holy Trinity CofE Primary School, NW3",Voluntary Aided School,Primary,Trinity Walk,London,NW3 5SQ,Open,Mixed,526445,184601,Frognal and Fitzjohns,Camden,http://www.holytrinitynw3.camden.sch.uk/,4 - 11,VOLUNTARY,1,-0.177870920527000,51.546147465200001
28,29.000000000000000,100033,"Holy Trinity and Saint Silas CofE Primary School, NW1",Voluntary Aided School,Primary,Hartland Road,London,NW1 8DE,Open,Mixed,528675,184432,Camden Town with Primrose Hill,Camden,http://www.holytrinitynw1.camden.sch.uk/,4 - 11,VOLUNTARY,1,-0.145790771987000,51.544125182700000
29,30.000000000000000,100034,Kentish Town Church of England Primary School,Voluntary Aided School,Primary,Islip Street,London,NW5 2TU,Open,Mixed,529113,185066,Kentish Town,Camden,http://www.kentishtown.camden.sch.uk/,3 - 11,VOLUNTARY,1,-0.139245494114000,51.549722945600003
30,31.000000000000000,100035,Rosary Roman Catholic Primary School,Voluntary Aided School,Primary,238 Haverstock Hill,London,NW3 2AE,Open,Mixed,527199,185281,Hampstead Town,Camden,http://www.rosary.camden.sch.uk/,3 - 11,VOLUNTARY,1,-0.166757390532000,51.552089329300003
31,32.000000000000000,100036,St Alban's Church of England Primary School,Voluntary Aided School,Primary,Baldwins Gardens,London,EC1N 7SD,Open,Mixed,531156,181834,Holborn and Covent Garden,Camden,www.stalbanscamden.co.uk,3 - 11,VOLUNTARY,1,-0.111000537390000,51.520207118800002
32,33.000000000000000,100037,St Aloysius Roman Catholic Junior School,Voluntary Aided School,Primary,Aldenham Street,London,NW1 1PS,Open,Mixed,529505,183062,St. Pancras and Somers Town,Camden,http://www.staloysiusjun.camden.sch.uk/,7 - 11,VOLUNTARY,1,-0.134332029310000,51.531623540100000
33,34.000000000000000,100038,St Aloysius Roman Catholic Infant School,Voluntary Aided School,Primary,28 Phoenix Road,London,NW1 1TA,Open,Mixed,529641,182910,St. Pancras and Somers Town,Camden,http://www.staloysiusinf.camden.sch.uk/,3 - 7,VOLUNTARY,1,-0.132428377950000,51.530226361200000
